Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
D0G730	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
B3Y8F8	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
K9MRJ6	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
B3Y8F0	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
E5RSQ4	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
D0G6Z9	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
A0A7S5ZX48	uncultured archaeon	Archaea						uncultured archaeon
A0A7S5ZWE5	uncultured archaeon	Archaea						uncultured archaeon
A0A7S5ZYZ9	uncultured archaeon	Archaea						uncultured archaeon
K4FAQ6	uncultured archaeon	Archaea						uncultured archaeon
A0A516FG09	uncultured archaeon	Archaea						uncultured archaeon
A0A2L0WVI5	uncultured archaeon	Archaea						uncultured archaeon
A0A516FHU0	uncultured archaeon	Archaea						uncultured archaeon
A0A097BU90	uncultured archaeon	Archaea						uncultured archaeon
K4F4X7	uncultured archaeon	Archaea						uncultured archaeon
A0A346I4Y1	uncultured archaeon	Archaea						uncultured archaeon
T1YY22	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUK1	uncultured archaeon	Archaea						uncultured archaeon
A0A516FHB7	uncultured archaeon	Archaea						uncultured archaeon
A0A346I615	uncultured archaeon	Archaea						uncultured archaeon
T1YWS9	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUC1	uncultured archaeon	Archaea						uncultured archaeon
W8Q5H2	uncultured archaeon	Archaea						uncultured archaeon
A0A2L0WVI1	uncultured archaeon	Archaea						uncultured archaeon
W6JNF8	uncultured archaeon	Archaea						uncultured archaeon
A0A516FFX5	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQD1	uncultured archaeon	Archaea						uncultured archaeon
A0A516FIU0	uncultured archaeon	Archaea						uncultured archaeon
L7X2H9	uncultured archaeon	Archaea						uncultured archaeon
A0A516FG84	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5T6	uncultured archaeon	Archaea						uncultured archaeon
T1YXZ6	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0RSN7	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUG5	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AR98	uncultured archaeon	Archaea						uncultured archaeon
A0A346I567	uncultured archaeon	Archaea						uncultured archaeon
K4F4Z4	uncultured archaeon	Archaea						uncultured archaeon
K4F4Z2	uncultured archaeon	Archaea						uncultured archaeon
K4F5G2	uncultured archaeon	Archaea						uncultured archaeon
A0A346I6G8	uncultured archaeon	Archaea						uncultured archaeon
W8PTH6	uncultured archaeon	Archaea						uncultured archaeon
A0A346I625	uncultured archaeon	Archaea						uncultured archaeon
L7X290	uncultured archaeon	Archaea						uncultured archaeon
A0A291I825	uncultured archaeon	Archaea						uncultured archaeon
A0A516FHT0	uncultured archaeon	Archaea						uncultured archaeon
W8GKQ0	uncultured archaeon	Archaea						uncultured archaeon
K4F8W6	uncultured archaeon	Archaea						uncultured archaeon
W8GH71	uncultured archaeon	Archaea						uncultured archaeon
G8IHY6	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
A0A1B1W675	uncultured thaumarchaeote	Archaea	Thaumarchaeota					uncultured thaumarchaeote
A0A7S5ZW78	uncultured archaeon	Archaea						uncultured archaeon
A0A0K2D4Q2	uncultured archaeon	Archaea						uncultured archaeon
A0A346I555	uncultured archaeon	Archaea						uncultured archaeon
K4F4A2	uncultured archaeon	Archaea						uncultured archaeon
W8GGG2	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0RTA4	uncultured archaeon	Archaea						uncultured archaeon
A0A516FFT2	uncultured archaeon	Archaea						uncultured archaeon
A0A291I824	uncultured archaeon	Archaea						uncultured archaeon
A0A516FHP9	uncultured archaeon	Archaea						uncultured archaeon
A0A291I807	uncultured archaeon	Archaea						uncultured archaeon
T1W281	uncultured archaeon	Archaea						uncultured archaeon
K4F3K7	uncultured archaeon	Archaea						uncultured archaeon
A0A345GPY2	uncultured archaeon	Archaea						uncultured archaeon
A0A516FFT9	uncultured archaeon	Archaea						uncultured archaeon
A0A516FIM9	uncultured archaeon	Archaea						uncultured archaeon
A0A172MHB6	uncultured archaeon	Archaea						uncultured archaeon
K4F8K6	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5R9	uncultured archaeon	Archaea						uncultured archaeon
A0A516FII0	uncultured archaeon	Archaea						uncultured archaeon
K4F510	uncultured archaeon	Archaea						uncultured archaeon
K4F4R7	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQD8	uncultured archaeon	Archaea						uncultured archaeon
T1YWR7	uncultured archaeon	Archaea						uncultured archaeon
A0A172MJE1	uncultured archaeon	Archaea						uncultured archaeon
W8GGQ0	uncultured archaeon	Archaea						uncultured archaeon
A0A2L0WVI0	uncultured archaeon	Archaea						uncultured archaeon
K4F4F3	uncultured archaeon	Archaea						uncultured archaeon
K4F4Z5	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0CKG4	uncultured archaeon	Archaea						uncultured archaeon
A0A345GRG1	uncultured archaeon	Archaea						uncultured archaeon
K4F8T4	uncultured archaeon	Archaea						uncultured archaeon
A0A172MH01	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0RSF6	uncultured archaeon	Archaea						uncultured archaeon
K4F492	uncultured archaeon	Archaea						uncultured archaeon
A0A346I6G5	uncultured archaeon	Archaea						uncultured archaeon
A0A060N2U3	uncultured archaeon	Archaea						uncultured archaeon
B3Y8E4	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
A0A1X9ZIV5	uncultured archaeon	Archaea						uncultured archaeon
U6A0A9	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
A0A7S5ZW68	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0BVU7	uncultured archaeon	Archaea						uncultured archaeon
K4F8W3	uncultured archaeon	Archaea						uncultured archaeon
A0A7S5ZWF8	uncultured archaeon	Archaea						uncultured archaeon
A0A7S6CZL2	uncultured archaeon	Archaea						uncultured archaeon
A0A346I653	uncultured archaeon	Archaea						uncultured archaeon
A0A291I853	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUI9	uncultured archaeon	Archaea						uncultured archaeon
A0A172MGN0	uncultured archaeon	Archaea						uncultured archaeon
W8GH81	uncultured archaeon	Archaea						uncultured archaeon
K4F4B2	uncultured archaeon	Archaea						uncultured archaeon
K4F4Y9	uncultured archaeon	Archaea						uncultured archaeon
A0A291I7U4	uncultured archaeon	Archaea						uncultured archaeon
K4F511	uncultured archaeon	Archaea						uncultured archaeon
A0A516FGK3	uncultured archaeon	Archaea						uncultured archaeon
