Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
Q6DW69	uncultured methanotrophic proteobacterium	Bacteria	Proteobacteria					uncultured methanotrophic proteobacterium
W5QV70	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3Q8AT92	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3S6I8Y2	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
M9YWY0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
W5QV60	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A191Z468	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1W5ZJ23	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A172X0W8	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3Q8BL53	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
